pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
91,,1.7,202,轻度污染,156,aqi_redisspider,27,2018-11-28 17:27:23.136000,2014-07-11,126,51
72,,2.5,200,轻度污染,160,aqi_redisspider,65,2018-11-28 17:27:23.141000,2014-07-12,125,70
75,,1.4,0,良,102,aqi_redisspider,55,2018-11-28 17:27:23.146000,2014-03-23,100,51
83,,1.7,129,轻度污染,124,aqi_redisspider,62,2018-11-28 17:27:23.148000,2014-03-24,110,58
137,,2.3,204,中度污染,102,aqi_redisspider,63,2018-11-28 17:27:23.150000,2014-03-25,182,62
128,,2.2,172,中度污染,133,aqi_redisspider,50,2018-11-28 17:27:23.151000,2014-03-26,169,48
84,,1.7,0,轻度污染,164,aqi_redisspider,27,2018-11-28 17:27:23.154000,2014-03-27,112,31
86,,1.7,149,轻度污染,171,aqi_redisspider,36,2018-11-28 17:27:23.156000,2014-03-28,114,40
59,,0.7,103,良,117,aqi_redisspider,27,2018-11-28 17:27:23.158000,2015-10-10,80,31
75,,0.8,122,良,124,aqi_redisspider,30,2018-11-28 17:27:23.162000,2015-10-11,100,44
126,,1.1,194,中度污染,142,aqi_redisspider,29,2018-11-28 17:27:23.163000,2015-10-12,166,60
84,,1,147,轻度污染,168,aqi_redisspider,31,2018-11-28 17:27:23.165000,2015-10-13,112,55
73,,1,119,轻度污染,170,aqi_redisspider,31,2018-11-28 17:27:23.167000,2015-10-14,110,45
81,,1.1,93,轻度污染,75,aqi_redisspider,22,2018-11-28 17:27:23.168000,2015-11-09,108,30
93,,1.2,108,轻度污染,82,aqi_redisspider,30,2018-11-28 17:27:23.169000,2015-11-10,123,38
65,,0.7,79,良,84,aqi_redisspider,23,2018-11-28 17:27:23.170000,2015-11-11,88,36
71,,0.9,91,良,61,aqi_redisspider,28,2018-11-28 17:27:23.171000,2015-11-12,95,31
114,,1.4,132,轻度污染,87,aqi_redisspider,26,2018-11-28 17:27:23.175000,2015-11-13,149,34
136,,1.5,168,中度污染,89,aqi_redisspider,28,2018-11-28 17:27:23.187000,2015-11-14,180,37
50,,1,69,良,75,aqi_redisspider,38,2018-11-28 17:27:23.190000,2015-12-18,69,35
62,,1.2,77,良,45,aqi_redisspider,44,2018-11-28 17:27:23.192000,2015-12-19,84,43
108,,1.6,137,轻度污染,53,aqi_redisspider,31,2018-11-28 17:27:23.200000,2015-12-20,142,45
126,,1.1,160,中度污染,46,aqi_redisspider,23,2018-11-28 17:27:23.212000,2016-01-14,166,28
78,,3,130,轻度污染,106,aqi_redisspider,33,2018-11-28 17:27:23.214000,2014-04-22,104,41
64,,0.9,89,良,89,aqi_redisspider,23,2018-11-28 17:27:23.216000,2014-04-23,87,32
76,,1,109,轻度污染,117,aqi_redisspider,24,2018-11-28 17:27:23.232000,2014-04-24,102,39
82,,2.2,178,轻度污染,98,aqi_redisspider,36,2018-11-28 17:27:23.234000,2014-05-25,114,54
68,,2.3,161,轻度污染,139,aqi_redisspider,71,2018-11-28 17:27:23.237000,2014-05-26,106,62
76,,1.2,178,轻度污染,122,aqi_redisspider,40,2018-11-28 17:27:23.239000,2014-05-27,114,51
84,,2.5,200,轻度污染,188,aqi_redisspider,80,2018-11-28 17:27:23.241000,2014-05-28,126,66
72,,1.6,193,轻度污染,189,aqi_redisspider,70,2018-11-28 17:27:23.243000,2014-05-29,127,73
33,,0.7,46,优,70,aqi_redisspider,22,2018-11-28 17:27:23.244000,2016-02-16,48,23
48,,0.9,63,良,77,aqi_redisspider,22,2018-11-28 17:27:23.247000,2016-02-17,67,33
47,,0.9,62,良,82,aqi_redisspider,26,2018-11-28 17:27:23.248000,2016-02-18,65,37
84,,1.1,124,轻度污染,59,aqi_redisspider,33,2018-11-28 17:27:23.249000,2016-02-19,112,45
65,,0.7,155,轻度污染,78,aqi_redisspider,24,2018-11-28 17:27:23.254000,2016-02-20,103,25
98,,2.4,0,轻度污染,56,aqi_redisspider,35,2018-11-28 17:27:23.257000,2014-06-19,129,38
65,,1.4,0,良,102,aqi_redisspider,24,2018-11-28 17:27:23.258000,2014-06-20,88,27
112,,2.2,173,轻度污染,143,aqi_redisspider,35,2018-11-28 17:27:23.261000,2014-06-22,147,39
97,,2.5,192,轻度污染,123,aqi_redisspider,37,2018-11-28 17:27:23.263000,2014-06-24,128,41
69,,1.4,116,良,106,aqi_redisspider,30,2018-11-28 17:27:23.264000,2014-06-25,93,36
60,,1,0,良,110,aqi_redisspider,21,2018-11-28 17:27:23.259000,2014-06-21,82,30
60,,1.3,0,良,105,aqi_redisspider,21,2018-11-28 17:27:23.262000,2014-06-23,82,34
48,,1.6,142,轻度污染,162,aqi_redisspider,54,2018-11-28 17:27:23.538000,2014-07-13,102,50
59,,1.4,162,轻度污染,139,aqi_redisspider,49,2018-11-28 17:27:23.539000,2014-07-14,106,54
54,,1.2,114,良,160,aqi_redisspider,28,2018-11-28 17:27:23.540000,2014-07-15,100,32
65,,1.4,132,良,132,aqi_redisspider,24,2018-11-28 17:27:23.542000,2014-07-16,91,30
45,,1.2,93,良,128,aqi_redisspider,24,2018-11-28 17:27:23.544000,2014-07-17,74,27
37,,0.9,72,良,100,aqi_redisspider,14,2018-11-28 17:27:23.546000,2014-07-18,61,22
141,,2.6,263,中度污染,187,aqi_redisspider,59,2018-11-28 17:27:23.550000,2014-03-29,188,56
178,,2.2,254,重度污染,165,aqi_redisspider,49,2018-11-28 17:27:23.550000,2014-03-30,228,52
87,,1.8,159,轻度污染,167,aqi_redisspider,40,2018-11-28 17:27:23.558000,2014-03-31,115,42
129,,1.3,179,中度污染,167,aqi_redisspider,39,2018-11-28 17:27:23.560000,2015-10-15,170,50
183,,1.6,233,重度污染,188,aqi_redisspider,47,2018-11-28 17:27:23.562000,2015-10-16,233,70
120,,1.3,156,中度污染,192,aqi_redisspider,33,2018-11-28 17:27:23.564000,2015-10-17,158,67
61,,0.8,86,良,120,aqi_redisspider,33,2018-11-28 17:27:23.571000,2015-10-19,83,50
119,,1.6,148,中度污染,68,aqi_redisspider,30,2018-11-28 17:27:23.572000,2015-11-15,156,44
74,,1.3,93,良,71,aqi_redisspider,27,2018-11-28 17:27:23.573000,2015-11-16,99,32
71,,1.3,87,良,66,aqi_redisspider,23,2018-11-28 17:27:23.574000,2015-11-17,95,29
54,,1,69,良,51,aqi_redisspider,20,2018-11-28 17:27:23.578000,2015-11-18,74,28
56,,0.9,73,良,42,aqi_redisspider,32,2018-11-28 17:27:23.582000,2015-11-19,77,33
101,,1.5,123,轻度污染,78,aqi_redisspider,35,2018-11-28 17:27:23.584000,2015-12-21,133,40
137,,1.6,151,中度污染,50,aqi_redisspider,21,2018-11-28 17:27:23.588000,2015-12-22,182,31
63,,1.7,89,良,26,aqi_redisspider,21,2018-11-28 17:27:23.590000,2015-12-23,85,28
70,,0.9,96,良,147,aqi_redisspider,34,2018-11-28 17:27:23.565000,2015-10-18,94,51
60,,1.7,72,良,42,aqi_redisspider,20,2018-11-28 17:27:23.607000,2015-12-24,82,23
103,,1,148,轻度污染,58,aqi_redisspider,22,2018-11-28 17:27:23.613000,2016-01-15,135,33
86,,1,117,轻度污染,58,aqi_redisspider,27,2018-11-28 17:27:23.625000,2016-01-16,114,30
97,,1.5,0,轻度污染,78,aqi_redisspider,27,2018-11-28 17:27:23.627000,2014-04-25,128,58
56,,1.3,132,良,58,aqi_redisspider,46,2018-11-28 17:27:23.629000,2014-04-26,91,52
82,,2.5,198,轻度污染,87,aqi_redisspider,93,2018-11-28 17:27:23.631000,2014-04-27,124,64
94,,2.3,175,轻度污染,100,aqi_redisspider,52,2018-11-28 17:27:23.632000,2014-04-28,124,58
83,,2.1,195,轻度污染,124,aqi_redisspider,57,2018-11-28 17:27:23.634000,2014-04-29,123,54
87,,1.5,201,轻度污染,137,aqi_redisspider,46,2018-11-28 17:27:23.635000,2014-04-30,126,50
94,,2,190,轻度污染,204,aqi_redisspider,56,2018-11-28 17:27:23.637000,2014-05-30,140,62
94,,2.2,179,轻度污染,142,aqi_redisspider,66,2018-11-28 17:27:23.639000,2014-05-31,124,66
66,,0.9,116,良,70,aqi_redisspider,20,2018-11-28 17:27:23.643000,2016-02-21,89,27
62,,0.7,79,良,71,aqi_redisspider,11,2018-11-28 17:27:23.645000,2016-02-22,84,22
82,,1,110,轻度污染,70,aqi_redisspider,16,2018-11-28 17:27:23.648000,2016-02-23,109,31
85,,1.1,109,轻度污染,97,aqi_redisspider,15,2018-11-28 17:27:23.651000,2016-02-24,113,37
67,,0.9,104,良,101,aqi_redisspider,22,2018-11-28 17:27:23.658000,2016-02-25,90,32
70,,1.1,100,轻度污染,164,aqi_redisspider,23,2018-11-28 17:27:23.660000,2014-06-26,104,25
110,,2.2,156,轻度污染,192,aqi_redisspider,36,2018-11-28 17:27:23.662000,2014-06-27,144,50
93,,1.8,161,轻度污染,176,aqi_redisspider,42,2018-11-28 17:27:23.680000,2014-06-28,123,44
36,,0.9,57,良,87,aqi_redisspider,8,2018-11-28 17:27:24.018000,2014-07-19,54,22
40,,1,62,良,132,aqi_redisspider,9,2018-11-28 17:27:24.019000,2014-07-20,77,20
